序號,公司,公司中文網址,產品網頁,備註
1,力泰國際股份有限公司,https://www.rithai.com/home-zh/,https://www.rithai.com/portfolio-item/monogreen-monofilament-zh/,
2,力鵬企業股份有限公司,https://www.lealeagroup.com.tw/tw/,,"只有企業介紹,沒有產品與材料"
3,三芳化學工業股份有限公司,http://www.sanfang.com.tw/,https://www.sanfang.com/product/%E7%BA%96%E7%B6%AD,
4,大東紡織股份有限公司,http://tw.tahtong.com.tw/index_down.php.htm,http://tw.tahtong.com.tw/index_down.php-CA=2&ISPID=22&IIBig=2&ppd=13&productstyle=13&sele=shopbig_dm_no.htm,
5,大統新創股份有限公司,https://www.evertex.tw/tw,https://www.evertex.tw/tw/product/detail/%E6%9B%B4%E5%A4%9A%E6%A9%9F%E8%83%BD%E6%80%A7%E5%B8%83%E6%96%99,
6,大鐘印染股份有限公司,http://www.gbprint.com.tw/frameset.htm,http://www.gbprint.com.tw/frameset.htm,
7,中良工業股份有限公司,https://www.tiongliong.com/zh-TW/index/index.html,https://www.tiongliong.com/zh-TW/category/index.html,
8,世堡紡織股份有限公司,https://www.supertextile.com/zh-tw/,,產品需要多層次深入
9,台南企業股份有限公司,https://www.eng.tai-nan.com/?lang=zh,,
10,台灣日華化學工業(股)公司,http://www.nicca.com.tw/,,產品需要多層次深入
11,台灣迪卡儂有限公司,https://www.decathlon.tw/,,只有產品，但沒有材料說明
13,台灣富綢纖維股份有限公司,http://www.ttfco.com/,https://www.ttfco.com/product.php?lang=tw&tb=1&ot=all,
15,台灣奧升德功能材料股份有限公司,https://www.ascendpm.com.cn/,,
17,弘裕企業股份有限公司,https://www.textile-hy.com.tw/,https://www.textile-hy.com.tw/products.htm,
18,永紡企業股份有限公司,http://www.evershineyf.com.tw/,http://www.evershineyf.com.tw/EVERSHINE/ProductS.aspx,
20,立肯國際股份有限公司,http://www.littleking.com.tw/,,
21,光隆實業股份有限公司,http://www.klf-group.com/,http://klf-group.com/english/01_products/products_01.php,
22,全業紡織股份有限公司,http://www.promaxtex.com,https://www.promaxtex.com/product/,
23,吉拓森特生技有限公司,http://www.twc2u.com/,https://www.twc2u.com/products/all/1,
25,年興紡織股份有限公司,http://www.nhjeans.com,https://www.nhjeans.com/denim-fabric/,
26,旭寬企業股份有限公司,http://www.newwide.com.tw/,http://www.newwide.com.tw/newwide/posts/tw/products,
28,佑詮股份有限公司,http://www.uppertex.com.tw,http://www.uppertex.com.tw/p4-outdoor.asp,
29,宏遠興業股份有限公司,http://www.everest.com.tw/,http://www.everest.com.tw/_english/00_site/00_overview.aspx?MID=299,
30,宏驊針織股份有限公司,http://www.hounwha.com.tw/,http://www.hounwha.com.tw/index.php/tw/products/products-listing,
32,依田股份有限公司,http://www.textint.com.tw/,,
33,依洛國際開發股份有限公司,http://www.iroo.com/,https://www.iroo.com/products/allproduct/,
34,佳尼特股份有限公司,https://group.chanitex.org/,https://chanitextextile.wixsite.com/chanitex,
35,和義貿易股份有限公司,http://www.taiwanjj.com.tw/,http://www.taiwanjj.com.tw/products.php,
36,坤龍紡織股份有限公司,http://www.kuenlong.com.tw/,http://www.kuenlong.com.tw/,
37,尚益染整加工股份有限公司,http://www.cordura.com/sch/fabric-technology/sunny-special-mill.html,https://cordura.com/products,
38,忠興織造廠股份有限公司,https://www.universalwebbing.com.tw/tw/about-us.html,,無產品與材料介紹
40,東和紡織股份有限公司,http://www.tungho.com.tw/,http://www.tungho.com.tw/index.php?temp=prds&lang=cht,
41,東紡興業有限公司,http://www.wideplustex.com/,http://www.wideplustex.com/product.php?lang=en&tb=1,
42,東豐纖維企業股份有限公司,https://www.tun.com.tw/,,
43,果田國際股份有限公司,http://www.americanbluedeer.com.tw/,https://www.americanbluedeer.com.tw/plist/-1,
44,金祥順企業股份有限公司,http://www.chsco.com.tw/,http://www.chsco.com.tw/recycled-fabric.htm,
45,阜奕管理顧問股份有限公司(南良集團),http://www.namliong-group.com/,,無產品與材料介紹
46,信富(富宇)紡織科技股份有限公司,http://www.advtex.com.tw/,https://www.advtex.com.tw/product.html,
47,南良國際股份有限公司-台南分公司,http://www.namliong-group.com/,http://www.namliong-global.com/zh-TW/category/Finished-Product-Business.html,多一次http://是ok的
48,南銧企業股份有限公司,https://www.goldenlighttw.com/,https://www.goldenlighttw.com/catalog/,
49,南緯實業股份有限公司,http://www.texray.com/,http://www.texray.com/sustainable-twt/?lang=zh-hant,
